id,question,answer
1,1. What is Intended Use:,"The history and physical examination remain a cornerstone in the assessment of patients with HF. The history and physical examination provide information about the cause of an underlying cardiomyopathy, including the possibility of an inherited cardiomyopathy as ascertained by a family history or a condition requiring disease-specific therapy like amyloid heart disease, as well as reasons why a previously stable patient developed acutely decompensated HF. A critical component of the history and physical examination is to assess for clinical congestion (i.e., those signs and symptoms resulting from elevated cardiac filling pressures). Congestion is a target for medication adjustment and is associated with quality of life (QOL) and prognosis. The history and physical examination also allow for the determination of clinical clues that suggest the patient has advanced HF, which may warrant referral to an advanced HF center."
2,1. What is Recommendation of Intended Use:,"Recommendations:
1.Clinical congestion can be assessed by various methods, including the presence of jugular venous distention (17), orthopnea (18), bendopnea (19), a square-wave response to the Valsalva maneuver (20), and leg edema (6). On a practical level, clinicians use extent of clinical congestion to guide titration of pharmacological treatments, including doses of diuretics. Observational studies have shown that clinical congestion is an important adverse risk factor in patients with HF (1–6,17). Recently, the PARADIGM-HF (The Efficacy and Safety of LCZ696 Compared to Enalapril on Morbidity and Mortality of Patients With Chronic Heart Failure) investigators showed that, in patients with chronic HFrEF, changes in markers of clinical congestion were associated with QOL as assessed by the Kansas City Cardiomyopathy Questionnaire and also provided prognostic information independently even of natriuretic peptides or the MAGGIC (Meta-analysis Global Group in Chronic Heart Failure) risk score (2). These data highlight the ongoing relevance of clinical congestion ascertained by the history and physical examination.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0022"">2.Some patients with HF progress to an advanced state, a condition that can be treated with specialized interventions such as mechanical circulatory support (MCS) or cardiac transplantation. Such patients should be identified before they progress to a state of extremis, at which point they may succumb to their illness or suffer complications of an intervention as a result of their very advanced state. Several “simple clinical clues” are available to identify advanced HF and should be ascertained via a focused history and physical examination. The recognition that a patient has advanced HF will allow for earlier referral to an advanced HF center, when appropriate, as will be discussed later in this document (see <a href=""#sec0069"" class=""scroll-into-link"">Section 8</a>.1, “Specialty Referral for Advanced HF”).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0023"">3.Increasingly, familial cardiomyopathy is recognized as a more accurate diagnosis in some patients previously classified as having an idiopathic dilated cardiomyopathy (DCM). A detailed family history may provide the first clue of a genetic basis. A broad array of questions includes whether family members had a weak, enlarged, or thick heart, or HF; muscular dystrophy; a pacemaker or defibrillator; were on a heart transplant list; or died unexpectedly. Periodic updating of the family history in patients with a cardiomyopathy of uncertain origin may lead to a diagnosis of familial cardiomyopathy in the event that a relative subsequently develops a cardiomyopathy or a related complication. A 3-generation family pedigree obtained by genetic health care professionals improved the rate of detection of a familial process as compared with routine care (14). Furthermore, a family history of cardiomyopathy, as determined by a 3-generation pedigree analysis, was associated with findings of gadolinium enhancement on cardiac magnetic resonance imaging (MRI) and increased major adverse cardiac events (13). The possibility of an inherited cardiomyopathy provides the impetus for cascade screening of undiagnosed family members, thereby potentially avoiding preventable adverse events in affected relatives by implementation of GDMT and other management that otherwise would not be initiated.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0024"">4.Certain conditions that cause HF require disease-specific therapies. For example, in amyloid heart disease, whether on the basis of transthyretin (21) or light chain deposition (22), there are specific treatments that otherwise would not be used in patients with HF. Hence, expeditious and accurate diagnosis of such conditions is important. Currently, important delays have been reported in diagnosing amyloid heart disease (16), perhaps not unexpectedly given the wide spectrum of possible clinical presentations (15). Similarly, HF attributable to sarcoidosis, hemochromatosis, hypothyroidism, hyperthyroidism, acromegaly, connective tissue disease, tachycardia-induced cardiomyopathy, or high-output HF from an arteriovenous fistula, among others, requires specific therapeutic approaches. Given that the differential diagnosis of HF is broad, the history and physical examination can provide clues to narrow the number of causes to consider and guide the diagnostic approach to identify such conditions (<a href=""#tbl0005"" id=""back-tbl0005"" class=""scroll-into-link"">Table 5</a>).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0025"">5.The history and physical examination help to identify the cause of a clinical deterioration. To determine the cause of a clinical deterioration, the clinician assesses for concurrent illness (e.g., ongoing myocardial ischemia, pulmonary emboli, or systemic infection), initiation of a medication potentially detrimental in the setting of HF (e.g., nonsteroidal anti-inflammatory drugs [NSAIDs]), or the possibility of chronic RV pacing (e.g., a newly implanted pacemaker or medications such as amiodarone that leads to bradycardia and resultant chronic RV pacing), nonadherence to a medication or dietary regimen, and ongoing substance abuse. In addition, an assessment of social determinants of health (e.g., housing stability, food security, available transportation) should be made."
3,2. What is Initial Laboratory and Electrocardiographic Testing:,"Laboratory evaluation with complete blood count, urinalysis, serum electrolytes (including sodium, potassium, calcium, and magnesium), blood urea nitrogen, serum creatinine, glucose, fasting lipid profile, liver function tests, iron studies (serum iron, ferritin, transferrin saturation), and thyroid-stimulating hormone level and electrocardiography is part of the standard diagnostic evaluation of a patient with HF. In addition to routine assessment, specific diagnostic testing and evaluation is often necessary to identify specific cause and other comorbidities in patients with HF."
4,2. What is Recommendation of Initial Laboratory and Electrocardiographic Testing:,"Recommendations:
1.Identifying the specific cause of HF is important, because conditions that cause HF may require disease-specific therapies. Depending on the clinical suspicion, additional diagnostic studies are usually required to diagnose specific causes (<a href=""#tbl0006"" id=""back-tbl0006"" class=""scroll-into-link"">Table 6</a>) such as ischemic cardiomyopathy, cardiac amyloidosis, sarcoidosis, hemochromatosis, infectious mechanisms (e.g., HIV, COVID-19, Chagas), hypothyroidism, hyperthyroidism, acromegaly, connective tissue disorders, tachycardia-induced cardiomyopathy, Takotsubo, peripartum cardiomyopathy, cardiotoxicity with cancer therapies, or substance abuse would require specific management in addition to or beyond GDMT (1,2,9–15).</div><div class=""floatDisplay""><div id=""tbl0006"" class=""inline-table"" tabindex=""0""><div class=""inline-table__head""><span class=""inline-table__label"">Table 6<span class=""inline-table__title"">Selected Potential Causes of Elevated Natriuretic Peptide Levels (50–53)</div><table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""scrollable bordered"" tabindex=""0""><tbody><tr><td><strong>Cardiac</strong></td></tr><tr><td> HF, including RV HF syndromes</td></tr><tr><td> ACS</td></tr><tr><td> Heart muscle disease, including LVH</td></tr><tr><td> VHD</td></tr><tr><td> Pericardial disease</td></tr><tr><td> AF</td></tr><tr><td> Myocarditis</td></tr><tr><td> Cardiac surgery</td></tr><tr><td> Cardioversion</td></tr><tr><td> Toxic–metabolic myocardial insults, including cancer chemotherapy</td></tr><tr><td><strong>Noncardiac</strong></td></tr><tr><td> Advancing age</td></tr><tr><td> Anemia</td></tr><tr><td> Renal failure</td></tr><tr><td> Pulmonary: Obstructive sleep apnea, severe pneumonia</td></tr><tr><td> Pulmonary embolism, pulmonary arterial hypertension</td></tr><tr><td> Critical illness</td></tr><tr><td> Bacterial sepsis</td></tr><tr><td> Severe burns</td></tr></tbody></table><div class=""inline-table__tail""><div class=""section-paragraph"">ACS indicates acute coronary syndromes; AF, atrial fibrillation; HF, heart failure; LVH, left ventricular hypertrophy; RV, right ventricular; and VHD, valvular heart disease.</div></div><ul class=""rlist--inline separator download-links""><li><a title=""Open Full Table"" class=""table__open__ctrl"" target=""_blank"" href=""/action/showFullTableHTML?isHtml=true&amp;tableId=tbl0006&amp;pii=S1071-9164%2822%2900076-8"">
                            Open table in a new tab
                        </a></li>"
5,"3. What is Use of Biomarkers for Prevention, Initial Diagnosis, and Risk Stratification:","Assays for BNP and NT-proBNP are frequently used to establish the presence and severity of HF. In general, BNP and NT-proBNP levels are similar, and either can be used in patient care settings as long as their respective absolute values and cut-points are not used interchangeably (32–34). Obesity is associated with lower levels of BNP and NT-proBNP thereby reducing their diagnostic sensitivity (35,36). A substantial evidence base supports the use of natriuretic peptide biomarkers for excluding HF as a cause of symptoms in ambulatory and emergency department settings. Although a reduction in BNP and NT-proBNP has been associated with better outcomes, the evidence for treatment guidance using serial BNP or NT-proBNP measurements remains insufficient (37–39). Last, a widening array of biomarkers including markers of myocardial injury, inflammation, oxidative stress, vascular dysfunction, and matrix remodeling have been shown to provide incremental prognostic information over natriuretic peptides but remain without evidence of an incremental management benefit (13,40–49)."
6,"3. What is Recommendation of Use of Biomarkers for Prevention, Initial Diagnosis, and Risk Stratification:","Recommendations:
1.Measurement of BNP and NT-proBNP levels in the ambulatory setting for a suspected cardiac cause of dyspnea provides incremental diagnostic value to clinical judgment when the cause of dyspnea is unclear and the physical examination equivocal (1–9). In the emergency setting, BNP and NT-proBNP levels have higher sensitivity than specificity and may be more useful for ruling out HF than ruling in HF. Although lower levels of BNP and NT-proBNP may help exclude the presence of HF, and higher levels have high positive predictive value to diagnose HF, increases in both BNP and NT-proBNP levels have been reported in patients with various cardiac and noncardiac causes (<a href=""#tbl0006"" id=""back-tbl0006"" class=""scroll-into-link"">Table 6</a>) (50–53).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0030"">2.and 3. Higher levels of BNP and NT-proBNP are associated with a greater risk for adverse short- and long-term outcomes in patients with HF, including all-cause and cardiovascular death and major cardiovascular events (11,13–19). Studies have shown incremental prognostic value of these biomarkers to standard approaches of CVD risk assessment (11,16). Not all patients may need biomarker measurement for prognostication, especially if they already have advanced HF with established poor prognosis or persistently elevated levels of biomarkers in former settings."
7,4. What is Genetic Evaluation and Testing:,"In patients in whom a genetic or inherited cardiomyopathy is suspected, a family history should be performed, including at least 3 generations and ideally diagrammed as a family tree pedigree (see <a href=""#sec0024"" class=""scroll-into-link"">Section 4.1</a>, “Clinical Assessment: History and Physical Examination”). Genetic variants have been implicated in 25% to 40% of patients with DCM with a positive family history, but also in 10% to 30% of patients without a recognized family history (3,4). Phenotype and family history are important for identifying patients in whom genetic testing is most likely to yield clinically actionable information (<a href=""#tbl0007"" id=""back-tbl0007"" class=""scroll-into-link"">Table 7</a>). Presentation of DCM with conduction disease or ventricular arrhythmias raises concern of sarcoidosis and arrhythmogenic cardiomyopathy, which is of particular concern because of the risk of sudden death in patients and families (5). No controlled studies have shown clinical benefits of genetic testing for cardiomyopathy, but genetic testing contributes to risk stratification and has implications for treatment, currently most often for decisions regarding defibrillators for primary prevention of sudden death (5) and regarding exercise limitation for hypertrophic cardiomyopathy and the desmosomal variants. Consultation with a trained counselor before and after genetic testing helps patients to understand and weigh the implications of possible results for their own lives and those of family members, including possible discrimination on the basis of genetic information. Unless shown to be free of the genetic variant(s) implicated in the proband, first-degree relatives of affected probands should undergo periodic screening with echocardiography and electrocardiography.<div class=""floatDisplay""><div id=""tbl0007"" class=""inline-table"" tabindex=""0""><div class=""inline-table__head""><span class=""inline-table__label"">Table 7</span><span class=""inline-table__title"">Examples of Factors Implicating Possible Genetic Cardiomyopathy</span></div><div class=""table-with-References""> <table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""scrollable bordered"" tabindex=""0""><thead><tr><th class=""rowsep"">Phenotypic Category</th><th class=""rowsep"">Patient or Family Member Phenotypic Finding<div class=""dropBlock reference-citations""><a href=""#"" id=""back-tb7fn1"" data-db-target-for=""tb7fn1-d2546085e750"" class=""reference-citations__ctrl scroll-into-link"" aria-expanded=""false"" aria-controls=""tb7fn1"">*</a><div data-db-target-of=""tb7fn1-d2546085e750"" class=""dropBlock__holder""><div class=""dropBlock__body""><div class=""reference-citations__detials"">Note that genetic cause is more likely when the person is younger at the onset of events. However, the cardiac morphology and peripheral manifestations of hereditary amyloidosis may present in later life, unlike most other inherited cardiomyopathies.</div></div><a href=""#"" class=""dropBlock__ctrl--close"" title=""Close info""><i aria-hidden=""true"" class=""icon-close_thin""></i></a></div></div></th><th class=""rowsep"">Ask Specifically About Family Members<div class=""dropBlock reference-citations""><a href=""#"" id=""back-tb7fn1"" data-db-target-for=""tb7fn1-d2546085e754"" class=""reference-citations__ctrl scroll-into-link"" aria-expanded=""false"" aria-controls=""tb7fn1"">*</a><div data-db-target-of=""tb7fn1-d2546085e754"" class=""dropBlock__holder""><div class=""dropBlock__body""><div class=""reference-citations__detials"">Note that genetic cause is more likely when the person is younger at the onset of events. However, the cardiac morphology and peripheral manifestations of hereditary amyloidosis may present in later life, unlike most other inherited cardiomyopathies.</div></div><a href=""#"" class=""dropBlock__ctrl--close"" title=""Close info""><i aria-hidden=""true"" class=""icon-close_thin""></i></a></div></div> With</th></tr></thead><tbody><tr><td>Cardiac morphology</td><td>Marked LV hypertrophy</td><td rowspan=""3"" scope=""rowgroup"">Any mention of cardiomyopathy, enlarged or weak heart, HF.<br><br>Document even if attributed to other causes, such as alcohol or peripartum cardiomyopathy</td></tr><tr><td></td><td>LV noncompaction</td></tr><tr><td></td><td>Right ventricular thinning or fatty replacement on imaging or biopsy</td></tr><tr><td>Findings on 12-lead ECG</td><td>Abnormal high or low voltage or conduction, and repolarization, altered RV forces</td><td>Long QT or Brugada syndrome</td></tr><tr><td>Dysrhythmias</td><td>Frequent NSVT or very frequent PVCs</td><td rowspan=""2"" scope=""rowgroup"">ICD<br><br>Recurrent syncope<br><br>Sudden death attributed to “massive heart attack” without known CAD<br><br>Unexplained fatal event such as drowning or single-vehicle crash</td></tr><tr><td></td><td>Sustained ventricular tachycardia or fibrillation</td></tr><tr><td></td><td>Early onset AF</td><td>“Lone” AF before age 65 y</td></tr><tr><td></td><td>Early onset conduction disease</td><td>Pacemaker before age 65 y</td></tr><tr><td>Extracardiac features</td><td>Skeletal myopathy<br><br>Neuropathy<br><br>Cutaneous stigmata<br><br>Other possible manifestations of systemic syndromes</td><td>Any known skeletal muscle disease, including mention of Duchenne and Becker's, Emory–Dreifuss limb-girdle dystrophy<br><br>Systemic syndromes:<br><br>Dysmorphic features<br><br>Mental retardation<br><br>Congenital deafness<br><br>Neurofibromatosis<br><br>Renal failure with neuropathy</td></tr></tbody></table></div><div class=""inline-table__tail""><div class=""section-paragraph"">AF indicates atrial fibrillation; CAD, coronary artery disease; LV, left ventricular; NSVT, nonsustained ventricular tachycardia; PVC, premature ventricular contraction; and RV, right ventricular.</div><div class=""inline-table__footnote""><span><img src=""/entityImage?code=204e"" alt=""low asterisk"" border=""0"" class=""entity""> </span><span>Note that genetic cause is more likely when the person is younger at the onset of events. However, the cardiac morphology and peripheral manifestations of hereditary amyloidosis may present in later life, unlike most other inherited cardiomyopathies.</span></div></div><ul class=""rlist--inline separator download-links""><li><a title=""Open Full Table"" class=""table__open__ctrl"" target=""_blank"" href=""/action/showFullTableHTML?isHtml=true&amp;tableId=tbl0007&amp;pii=S1071-9164%2822%2900076-8"">
                            Open table in a new tab
                        </a></li></ul></div></div>"
8,4. What is Recommendation of Genetic Evaluation and Testing:,"Recommendations:
1.Inherited dilated, restrictive, and hypertrophic cardiomyopathies have been identified, although 1 gene variant may cause different phenotypes in the same family. The most common pathogenic variants identified are truncations in the large structural protein titin, which have been implicated in DCM (3–5) and also in peripartum or alcoholic cardiomyopathies; however, variants that do not cause disease are also common. Pathogenic variants in lamin A/C can be associated with conduction block and atrial arrhythmias as well as ventricular arrhythmias, which may progress more rapidly than symptoms of HF. Although previously linked with the phenotype of arrhythmogenic RV cardiomyopathy, desmosomal protein variants are now recognized to affect the left ventricle also with or without the right ventricle, and the term arrhythmogenic cardiomyopathy is now preferred for the phenotype of arrhythmias combined with DCM. Filamin-C mutations have been associated with skeletal myopathies and with isolated cardiomyopathy with ventricular arrhythmias. The identification of pathogenic variants associated with increased risk of sudden death may trigger consideration of primary prevention implantable cardioverter-defibrillators (ICDs) even in patients who have LVEF &gt;0.35 or &lt;3 months of guideline-recommended therapies (6). Evidence of desmosomal cardiac disease carries the additional implication of advice to avoid strenuous exercise, which may accelerate ventricular remodeling (7). Genetic confirmation of symptomatic Fabry's cardiomyopathy is an indication for replacement therapy with the enzyme agalsidase beta, and migalastat was recently approved for this uncommon cardiomyopathy."
9,5. What is Evaluation With Cardiac Imaging:,"Cardiac imaging has a key role in the initial evaluation of individuals with suspected HF and, when indicated, in the serial assessment of patients with HF. After a complete history and physical examination, a comprehensive TTE is the most useful initial diagnostic test given the vast amount of diagnostic and prognostic information provided. The determination of LVEF is a fundamental step to classify HF and to guide evidence-based pharmacological and device-based therapy. In certain situations, the echocardiogram is unable to accurately assess cardiac structure and/or function or more information is needed to determine the cause of the cardiac dysfunction. Other imaging modalities, such as CMR, SPECT or radionuclide ventriculography, PET, or cardiac CT or invasive coronary angiography, can provide additional and complementary information to cardiac ultrasound (11). In general, cardiac imaging tests, including repeat tests, are performed only when the results have a meaningful impact on clinical care."
10,5. What is Recommendation of Evaluation With Cardiac Imaging:,"Recommendations:
1.The chest x-ray is a useful initial diagnostic test for the evaluation of patients presenting with signs and symptoms of HF because it assesses cardiomegaly, pulmonary venous congestion, and interstitial or alveolar edema and may reveal alternative causes, cardiopulmonary or otherwise, of the patient's symptoms (1,2). Apart from congestion, other findings on chest x-ray are associated with HF only in the context of clinical presentation. Importantly, cardiomegaly may be absent in acute HF and, although cephalization, interstitial edema, and alveolar edema are modestly specific for HF, these findings are relatively insensitive (2,33). Considering the limited sensitivity and specificity, the chest x-ray should not be used as the only determinant of the specific cause or presence of HF.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0034"">2.TTE provides information regarding cardiac structure and function and identifies abnormalities of myocardium, heart valves, and pericardium. Echocardiography reveals structural and functional information that predicts subsequent risk (34–40). Guidelines provide recommendations for quantification of cardiac structure and function, including LVEF measurements, ventricular dimensions and volumes, evaluation of chamber geometry, and regional wall motion (41). RV size and function, atrial size, and all valves are evaluated for anatomic and flow abnormalities. Guidelines also provide recommendations for diastolic function and estimates of LV filling and left atrial pressure (42). The tricuspid valve regurgitant gradient, coupled with inferior vena cava diameter and its response during respiration, provides estimates of systolic PA pressure and central venous pressure. Indices of myocardial deformation, such as global longitudinal strain, may identify subclinical LV systolic dysfunction, which has been associated with greater risk of developing HF or recurrent HF hospitalizations (38,43–46). Given the widespread availability, lack of ionizing radiation, and wealth of provided information, echocardiography is the preferred initial imaging modality for evaluation of patients with suspected HF. Point-of-care cardiac ultrasound is an evolving tool for assessment of cardiac function and assessment of volume status and pulmonary congestion (47–52).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0035"">3.Serial echocardiograms to assess changes in EF, structural remodeling, and valvular function, although not recommended routinely in stable patients, are useful in various situations. In patients who have an unexplained, significant change in clinical status, echocardiography can provide important information, such as worsening ventricular or valvular function. A subset of patients may also have reverse remodeling, improvement in LVEF, and valvular function in response to evidence-based medical, revascularization, and device therapies, and repeat assessment of LVEF and remodeling is appropriate in those who have received treatments that might have had a significant effect on cardiac structure and function (4–7,53–59). Recovery of function appears more common in those with LV systolic dysfunction occurring in the setting of adverse energetic circumstances (e.g., chronic tachycardia or thyroid disease), dilated cardiomyopathies associated with immune responses (e.g., peripartum cardiomyopathy, acute myocarditis, systemic inflammatory responses), or in those who have undergone revascularization or device-based therapies (60). Reevaluation of EF (&gt;40 days after MI, &gt;90 days after revascularization, &gt;90 days after GDMT) is useful to determine candidacy for implantable cardioverter-defibrillator (ICD) or cardiac resynchronization therapy (CRT). Finally, repeat surveillance of LV function is appropriate in patients exposed to treatments that potentially damage the myocardium, such as chemotherapy.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0036"">4.If TTE is unable to accurately evaluate cardiac structure and function, additional noninvasive imaging modalities are available to clarify the initial diagnosis and to provide information on cardiac structure and function. The choice between these modalities depends on availability, local expertise, patient characteristics, indication, and goal of limiting radiation exposure. CMR provides an accurate and highly reproducible assessment of cardiac volumes, mass, and EF of the left and right ventricles (8–10). CMR provides high anatomic resolution of all aspects of the heart and surrounding structures and is not associated with ionizing radiation, leading to its recommended use in known or suspected congenital heart diseases (11,61). Electrocardiographic-gated cardiac CT can also accurately assess ventricular size, EF, and wall motion abnormalities, but it is accompanied with ionizing radiation (13–15). Radionuclide ventriculography is highly reproducible for measurement of LVEF, although it also exposes the patient to ionizing radiation (12).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0037"">5.CMR provides noninvasive characterization of the myocardium that may provide insights into HF cause (62). Late gadolinium enhancement, reflecting fibrosis and damaged myocardium, can identify acute and chronic MI (63,64) and identify HF caused by CAD (65,66). Patterns of late gadolinium enhancement or specific T-1 and T-2 techniques can suggest specific infiltrative and inflammatory cardiomyopathies, such as myocarditis, sarcoidosis, Fabry disease, Chagas disease, noncompaction, iron overload, and amyloidosis (16,20,22,67). T-1 mapping techniques allow for measurement of interstitial space characteristics and extracellular volume fraction and provides diagnostic and prognostic information (19,21–23,68–71). The presence of delayed hyperenhancement has been associated with worse outcomes and can provide risk stratification (72–77). Although registry data show that CMR findings commonly impact patient care management and provide diagnostic information in patients with suspected myocarditis or cardiomyopathy (17,18), a strategy of routine screening with CMR in patients with nonischemic cardiomyopathy was not shown to yield more specific HF causes than a strategy of selective CMR strategy based on echocardiographic and clinical findings in a recent trial (78).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0038"">6.HF is often caused by coronary atherosclerosis (79), and evaluation for ischemic heart disease can help in determining the presence of significant coronary artery disease (CAD). Noninvasive stress imaging with echocardiography or nuclear scintigraphy can be helpful in identifying patients likely to have obstructive CAD (24,25). Invasive or computed tomography coronary angiography can detect and characterize extent of CAD (26,27).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0039"">7.CAD is a leading cause of HF (79) and myocardial ischemia may contribute to new or worsening HF symptoms. Noninvasive testing (i.e., stress echocardiography, SPECT, CMR, or PET) may be considered for detection of myocardial ischemia to help to guide coronary revascularization decisions. Multiple nonrandomized, observational studies have reported improved survival with revascularization in patients with viable but dysfunctional myocardium (28,30–32). Despite these observational data, RCTs have not shown that viability imaging improves guidance of revascularization to a reduction of adverse cardiovascular outcomes (80–82). A prespecified viability substudy of the STICH (Surgical Treatment for Ischemic Heart Failure) trial showed that the presence of myocardial viability did not determine the long-term benefit from surgical revascularization in patients with ischemic cardiomyopathy (81,82). Of note, a relatively small number of individuals enrolled in the STICH substudy did not have viability, which may limit the power of the study. Although these data do not support the concept of routine viability assessment before revascularization, myocardial viability is used as one of the tools to inform decisions regarding revascularization in patients with high surgical risk or with complex medical problems.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0040"">8.Repeat noninvasive imaging of cardiac structure and function for routine surveillance is rarely appropriate in the absence of a change in clinical status or treatment interventions (11,83)."
